node.internal_key	SHARKarchive
	
	
visit.visit_year	MYEAR
sample.sample_project_code	PROJ_CODE<or>PROJ
sample.sample_orderer_code	ORDERER
visit.visit_date	SDATE
sample.sample_time	STIME
sample.sample_enddate	EDATE
sample.sample_endtime	ETIME
visit.platform_code	SHIPC
visit.expedition_id	CRUISE_NO
visit.visit_id	SERNO<or>STNNO
visit.reported_station_name	STATN
visit.visit_reported_latitude	LATIT
visit.visit_reported_longitude	LONGI
visit.positioning_system_code	POSYS
visit.water_depth_m	WADEP
visit.additional_sampling	ADD_SMP
visit.visit_comment	COMNT_VISIT
	
visit.wind_direction_code	WINDIR<or>WINDR
visit.wind_speed_ms	WINSP
visit.air_temperature_degc	AIRTEMP
visit.air_pressure_hpa	AIRPRES
visit.weather_observation_code	WEATH
visit.cloud_observation_code	CLOUD
visit.wave_observation_code	WAVES<or>SEAST
visit.ice_observation_code	ICEOB
variable.COPY_VARIABLE.Secchi depth.m	SECCHI
TEMP.QFLAG.Secchi depth	Q_SECCHI
sample.sample_id	SMPNO
sample.sample_depth_m	DEPH
variable.COPY_VARIABLE.Pressure CTD.dbar	PRES_CTD
TEMP.QFLAG.Pressure CTD	Q_PRES_CTD
sample.sample_min_depth_m	MINDEPH
sample.sample_max_depth_m	MAXDEPH
variable.COPY_VARIABLE.Temperature bottle.C	TEMP_BTL
TEMP.QFLAG.Temperature bottle	Q_TEMP_BTL
variable.COPY_VARIABLE.Temperature CTD.C	TEMP_CTD
TEMP.QFLAG.Temperature CTD	Q_TEMP_CTD
variable.COPY_VARIABLE.Salinity bottle.o/oo psu	SALT_BTL
TEMP.QFLAG.Salinity bottle	Q_SALT_BTL
variable.COPY_VARIABLE.Salinity CTD.o/oo psu	SALT_CTD
TEMP.QFLAG.Salinity CTD	Q_SALT_CTD
variable.COPY_VARIABLE.Conductivity_25 bottle.mS/m	CNDC_25
TEMP.QFLAG.Conductivity_25 bottle	Q_CNDC_25
variable.COPY_VARIABLE.Conductivity CTD.mS/m	CNDC_CTD
TEMP.QFLAG.Conductivity CTD	Q_CNDC_CTD
variable.COPY_VARIABLE.Dissolved oxygen O2 bottle.ml/l	DOXY_BTL
TEMP.QFLAG.Dissolved oxygen O2 bottle	Q_DOXY_BTL
variable.COPY_VARIABLE.Dissolved oxygen O2 CTD.ml/l	DOXY_CTD
TEMP.QFLAG.Dissolved oxygen O2 CTD	Q_DOXY_CTD
variable.COPY_VARIABLE.Hydrogen sulphide H2S.umol/l	H2S
TEMP.QFLAG.Hydrogen sulphide H2S	Q_H2S
variable.COPY_VARIABLE.pH.	PH
TEMP.QFLAG.pH	Q_PH
variable.COPY_VARIABLE.pH Laboratory.	PH_LAB
TEMP.QFLAG.pH Laboratory	Q_PH_LAB
variable.COPY_VARIABLE.Temperature pH Laboratory.C	PH_LAB_TEMP
TEMP.QFLAG.Temperature pH Laboratory	Q_PH_LAB_TEMP
variable.COPY_VARIABLE.Alkalinity.mmol/kg	ALKY
TEMP.QFLAG.Alkalinity	Q_ALKY
variable.COPY_VARIABLE.Alkalinity_2.mmol/l	ALKY_2
TEMP.QFLAG.Alkalinity_2	Q_ALKY_2
